Ticket #,Symbol,Volume,Date,Sold,Bought,Gross P/L,Comm,Dividends,Rollover,Adj,Net P/L,Condition,Created By
53766373,EUR/USD,"1,000",2/14/13 3:34 AM,1.33966, , , , , , , ,Mkt,3000047258
 , , ,2/14/13 4:29 AM, ,1.33810,1.56,0.00,0.00,0.00,0.00,1.56,Mkt,3000047258
53789724,NZD/USD,"1,000",2/14/13 6:58 PM,0.85094, , , , , , , ,Mkt,3000047258
 , , ,2/14/13 7:01 PM, ,0.85039,0.55,0.00,0.00,0.00,0.00,0.55,Mkt,3000047258
53789905,NZD/USD,"1,000",2/14/13 7:05 PM,0.85038, , , , , , , ,Mkt,3000047258
 , , ,2/14/13 9:59 PM, ,0.85188,-1.50,0.00,0.00,0.00,0.00,-1.50,SE,3000047258
53840769,GBP/AUD,"1,000",2/18/13 3:51 AM,1.50079, , , , , , , ,Mkt,3000047258
 , , ,2/18/13 3:58 AM, ,1.50240,-1.66,0.00,0.00,0.00,0.00,-1.66,SE,3000047258
53841304,GBP/AUD,"1,000",2/18/13 4:23 AM,1.50181, , , , , , , ,Mkt,3000047258
 , , ,2/18/13 4:28 AM, ,1.50339,-1.63,0.00,0.00,0.00,0.00,-1.63,SE,3000047258
53841855,AUD/USD,"1,000",2/18/13 4:41 AM,1.02861, , , , , , , ,Mkt,3000047258
 , , ,2/18/13 6:06 AM, ,1.03010,-1.49,0.00,0.00,0.00,0.00,-1.49,SE,3000047258
53855746,EUR/AUD,"1,000",2/18/13 7:30 PM, ,1.29514, , , , , , ,Mkt,3000047258
 , , ,2/18/13 7:31 PM,1.29347, ,-1.72,0.00,0.00,0.00,0.00,-1.72,SE,3000047258
53856036,AUD/CAD,"1,000",2/18/13 7:40 PM,1.04335, , , , , , , ,LE,3000047258
 , , ,2/18/13 8:21 PM, ,1.04335,0.00,0.00,0.00,0.00,0.00,0.00,Mkt,3000047258
53856946,EUR/AUD,"1,000",2/18/13 8:21 PM, ,1.29276, , , , , , ,Mkt,3000047258
 , , ,2/18/13 8:21 PM,1.29263, ,-0.13,0.00,0.00,0.00,0.00,-0.13,Mkt,3000047258
53864091,EUR/USD,"1,000",2/19/13 3:37 AM, ,1.33580, , , , , , ,Mkt,3000047258
 , , ,2/19/13 4:01 AM,1.33431, ,-1.49,0.00,0.00,0.00,0.00,-1.49,SE,3000047258
53886466,EUR/AUD,"1,000",2/19/13 8:07 PM,1.29805, , , , , , , ,LE,3000047258
 , , ,2/19/13 9:26 PM, ,1.29565,2.48,0.00,0.00,0.00,0.00,2.48,LE,3000047258
53922632,EUR/GBP,"1,000",2/21/13 3:38 AM, ,0.86958, , , , , , ,LE,3000047258
 , , ,2/21/13 4:05 AM,0.86815, ,-2.17,0.00,0.00,0.00,0.00,-2.17,SE,3000047258
53999245,GBP/AUD,"1,000",2/24/13 8:45 PM,1.47135, , , , , , , ,LE,3000047258
 , , ,2/24/13 8:50 PM, ,1.47472,-3.46,0.00,0.00,0.00,0.00,-3.46,SE,3000047258
54052334,EUR/JPY,"1,000",2/25/13 8:02 PM,121.083, , , , , , , ,Mkt,3000047258
 , , ,2/25/13 9:34 PM, ,121.070,0.14,0.00,0.00,0.00,0.00,0.14,Mkt,3000047258
54065378,EUR/JPY,"1,000",2/26/13 3:23 AM, ,120.453, , , , , , ,Mkt,3000047258
 , , ,2/26/13 3:34 AM,120.295, ,-1.72,0.00,0.00,0.00,0.00,-1.72,SE,3000047258
54068321,GBP/USD,"1,000",2/26/13 5:03 AM, ,1.51896, , , , , , ,Mkt,3000047258
 , , ,2/26/13 5:38 AM,1.51749, ,-1.47,0.00,0.00,0.00,0.00,-1.47,SE,3000047258
54069175,EUR/JPY,"1,000",2/26/13 5:46 AM,120.412, , , , , , , ,Mkt,3000047258
 , , ,2/26/13 5:55 AM, ,120.210,2.20,0.00,0.00,0.00,0.00,2.20,LE,3000047258
54096494,EUR/JPY,"1,000",2/26/13 7:25 PM, ,120.447, , , , , , ,Mkt,3000047258
 , , ,2/26/13 7:46 PM,120.290, ,-1.70,0.00,0.00,0.00,0.00,-1.70,SE,3000047258
54097453,AUD/JPY,"1,000",2/26/13 8:03 PM,94.003, , , , , , , ,Mkt,3000047258
 , , ,2/26/13 8:12 PM, ,93.742,2.84,0.00,0.00,0.00,0.00,2.84,Mkt,3000047258
54096268,EUR/JPY,"1,000",2/27/13 2:22 PM,121.013, , , , , , , ,LE,3000047258
 , , ,2/27/13 2:22 PM, ,121.162,-1.62,0.00,0.00,0.00,0.00,-1.62,SE,3000047258
54135272,EUR/USD,"1,000",2/27/13 7:11 PM, ,1.31491, , , , , , ,Mkt,3000047258
 , , ,2/27/13 9:03 PM,1.31495, ,0.04,0.00,0.00,0.00,0.00,0.04,Mkt,3000047258
54146455,EUR/USD,"1,000",2/28/13 4:06 AM,1.31347, , , , , , , ,Mkt,3000047258
 , , ,2/28/13 4:33 AM, ,1.31139,2.08,0.00,0.00,0.00,0.00,2.08,Mkt,3000047258
54171596,GBP/AUD,"1,000",2/28/13 7:09 PM,1.48326, , , , , , , ,Mkt,3000047258
 , , ,2/28/13 7:19 PM, ,1.48475,-1.52,0.00,0.00,0.00,0.00,-1.52,SE,3000047258
54171985,GBP/JPY,"1,000",2/28/13 7:36 PM, ,140.490, , , , , , ,Mkt,3000047258
 , , ,2/28/13 8:04 PM,140.340, ,-1.62,0.00,0.00,0.00,0.00,-1.62,SE,3000047258
